PMID,Title,Journal,Publication Year,Authors,Abstract,Keywords
40066159,Development of an efficient and heritable virus-induced genome editing system in,Horticulture research,2025,"HuiJun Lee, Ji Eun Baik, Kyung-Nam Kim",The CRISPR-Cas9 system can be used to introduce site-specific mutations into the genome of tomato (,N/A
40065494,The DNA N6-adenine methylation target gene GhMAF1 promotes fiber initiation at the base of Gossypium ovules.,The New phytologist,2025,"Yanfei Pei, Yongming Liu, Jun Peng, Yayue Pei, Tianen Zhang, Pengfei Miao, Yuanyuan Liu, Yang Liu, Ji Liu, Zuoren Yang, Fuguang Li, Zhi Wang","DNA methylation consists of 5-methylcytosine and N6-methyl deoxyadenosine (6mA) and is crucial in plant development. However, its specific role and potential mechanism to initiate cotton fibers remain unclear. This study employed Oxford Nanopore Technologies (ONT) sequencing to analyze DNA methylation alterations in ZM24 and ZM24 fuzzless-lintless (ZM24fl) during fiber initiation. Our results indicated that DNA 6mA methylation exhibited the most remarkable difference among ovule samples at -2, 0, and 5 d post anthesis of ZM24 and ZM24fl. Subsequently, genes with significant changes in DNA 6mA methylation and transcription during fiber initiation were screened. We found that GhMAF1 displayed significant transcriptional upregulation and 6mA enrichment in its promoter, which could serve as a potential target for DNA 6mA in fiber initiation. Further, we knocked out GhMAF1 using CRISPR-Cas technology and demonstrated that GhMAF1 specifically promotes the initiation of fiber cells at the base of the ovule by mediating the downstream JAZ2/CPC-MML3/MML4 pathway. These findings unveil a novel spatial module of fiber cell initiation on the ovule surface that involves GhMAF1. Ultimately, this work provides significant knowledge for the regulatory network of DNA 6mA modification in fiber initiation to improve fiber yield and quality.","6mA methylation, GhMAF1, cotton, fiber initiation, spatial differentiation"
40065399,Precise engineering of gene expression by editing plasticity.,Genome biology,2025,"Yang Qiu, Lifen Liu, Jiali Yan, Xianglei Xiang, Shouzhe Wang, Yun Luo, Kaixuan Deng, Jieting Xu, Minliang Jin, Xiaoyu Wu, Ying Zhou, Weibo Xie, Hai-Jun Liu, Alisdair R Fernie, Xuehai Hu, Jianbing Yan",Identifying transcriptional cis-regulatory elements (CREs) and understanding their role in gene expression are essential for the precise manipulation of gene expression and associated phenotypes. This knowledge is fundamental for advancing genetic engineering and improving crop traits.,"CRE, Deep learning, Editing plasticity, Insilico editing scheme, Precise regulation, UMI-STARR-seq"
40065264,Molecular breeding of pigs in the genome editing era.,"Genetics, selection, evolution : GSE",2025,"Jiahuan Chen, Jiaqi Wang, Haoran Zhao, Xiao Tan, Shihan Yan, Huanyu Zhang, Tiefeng Wang, Xiaochun Tang","To address the increasing demand for high-quality pork protein, it is essential to implement strategies that enhance diets and produce pigs with excellent production traits. Selective breeding and crossbreeding are the primary methods used for genetic improvement in modern agriculture. However, these methods face challenges due to long breeding cycles and the necessity for beneficial genetic variation associated with high-quality traits within the population. This limitation restricts the transfer of desirable alleles across different genera and species. This article systematically reviews past and current research advancements in porcine molecular breeding. It discusses the screening of clustered regularly interspaced short palindromic repeats (CRISPR) to identify resistance loci in swine and the challenges and future applications of genetically modified pigs.",N/A
40065146,"Mitochondrial genetics, signalling and stress responses.",Nature cell biology,2025,"Yasmine J Liu, Jonathan Sulc, Johan Auwerx","Mitochondria are multifaceted organelles with crucial roles in energy generation, cellular signalling and a range of synthesis pathways. The study of mitochondrial biology is complicated by its own small genome, which is matrilineally inherited and not subject to recombination, and present in multiple, possibly different, copies. Recent methodological developments have enabled the analysis of mitochondrial DNA (mtDNA) in large-scale cohorts and highlight the far-reaching impact of mitochondrial genetic variation. Genome-editing techniques have been adapted to target mtDNA, further propelling the functional analysis of mitochondrial genes. Mitochondria are finely tuned signalling hubs, a concept that has been expanded by advances in methodologies for studying the function of mitochondrial proteins and protein complexes. Mitochondrial respiratory complexes are of dual genetic origin, requiring close coordination between mitochondrial and nuclear gene-expression systems (transcription and translation) for proper assembly and function, and recent findings highlight the importance of the mitochondria in this bidirectional signalling.",N/A
40064881,In vivo prime editing rescues photoreceptor degeneration in nonsense mutant retinitis pigmentosa.,Nature communications,2025,"Yidian Fu, Xiaoyu He, Liang Ma, Xin D Gao, Pengpeng Liu, Hanhan Shi, Peiwei Chai, Shengfang Ge, Renbing Jia, David R Liu, Xianqun Fan, Zhi Yang","The next-generation gene editing tool, prime editing (PE), is adept at correcting point mutations precisely with high editing efficiency and rare off-target events and shows promising therapeutic value in treating hereditary diseases. Retinitis pigmentosa (RP) is the most common type of inherited retinal dystrophy and is characterized by progressive degeneration of retinal photoreceptors and, consequently, visual decline. To date, effective treatments for RP are lacking. Herein, a PE system is designed to target the PDE6B Y347X mutation in the rd1 mouse strain, a preclinical RP model. We screen and develop the PE system with epegRNA and RT",N/A
40064677,TBC1D30 regulates proinsulin and insulin secretion and is the target of a genomic association signal for proinsulin.,Diabetologia,2025,"Victoria A Parsons, Swarooparani Vadlamudi, Kayleigh M Voos, Abigail E Rohy, Anne H Moxley, Maren E Cannon, Jonathan D Rosen, Christine A Mills, Laura E Herring, K Alaine Broadaway, Damaris N Lorenzo, Karen L Mohlke","Components of the insulin processing and secretion pathways remain incompletely understood. Here, we examined a genome-wide association study (GWAS) signal for plasma proinsulin levels. Lead GWAS variant rs150781447-T encodes an Arg279Cys substitution in TBC1 domain family member 30 (TBC1D30), but no role for this protein in insulin processing or secretion has been established previously. This study aimed to evaluate whether TBC1D30 drives the GWAS association signal by determining whether TBC1D30 is involved in proinsulin secretion and, if so, to examine the effects of variant alleles and potential mechanisms.","CRISPR, Genome editing, Genome-wide association study, Insulin, Islets, Prime editing, Proinsulin"
40064355,Role of the Neuropeptide S receptor 1 rs324981 polymorphism in modulating emotionality and cognitive flexibility: insights from a gene-edited mouse model.,Behavioural brain research,2025,"Virginie Rappeneau, Ann-Marie Tobinski, Leonardo Miguel Caisachana Guevara, Neele Meyer, Kay Jüngling, Chadi Touma","The neuropeptide S (NPS) and its receptor (NPSR1) are involved in various physiological processes, including arousal, sleep, anxiety, memory, and stress responses in rodents. Recent attention has focused on the association between the NPS/NPSR1 system and stress-related disorders, particularly involving a specific single nucleotide polymorphism (SNP) in the NPSR1 gene (rs324981). This SNP causes an amino acid change at position 107 in the protein, reducing NPSR1 signalling potency; however, its effects on behavioural, cognitive, and physiological aspects relevant to stress-related disorders remain unclear. Addressing this topic, we characterized the behavioural phenotype of a gene-editing mouse model, expressing either the murine/ancestral NPSR1-I107 variant or the human NPSR1-N107 variant. Both, male and female mice underwent a comprehensive behavioural test battery assessing arousal, exploratory and anxiety-related behaviour under varying levels of novelty stress. Moreover, cognitive functions were evaluated with a special focus on cognitive flexibility using the Attentional Set Shifting Task (ASST). Additionally, markers of behavioural and endocrine stress reactivity were assessed as well as changes in body weight and body composition. Our results showed that NPSR1-N107 mice displayed increased anxiety-related behaviour compared to NPSR1-I107 mice, with no significant differences in arousal, exploratory behaviour or hormonal stress responses. However, NPSR1-N107 mice also exhibited better rule-reversal learning in the ASST, indicating enhanced cognitive flexibility. These findings provide clear evidence for a role of the NPSR1 rs324981 SNP in regulating emotionality and cognitive flexibility, underscoring the potential of the NPSR1-I107N mouse model for further elucidating the molecular mechanisms underlying stress-related disorders.","Behavioural flexibility, Emotionality, Neuropeptide S, Neuropeptide S receptor 1, SNP, Stress response"
40063421,Wnt Inhibition Safeguards Porcine Embryonic Stem Cells From the Acquisition of Extraembryonic Endoderm Cell Fates.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,"Hanning Wang, Liang Zhong, Zhuangfei Wang, Jinzhu Xiang, Duanqing Pei","Porcine embryonic stem cells (ESCs) are excellent models for exploring embryogenesis, producing genetically enhanced farm animals, and improving breeding. Various chemicals have been applied to generate porcine ESCs from embryos, which differ from mouse and human ESC derivation. Wnt inhibitors XAV939 or IWR1 are required to isolate and maintain porcine ESCs. How Wnt inhibitors specify porcine ESC fate decisions remains poorly understood. Additionally, whether porcine ESCs can be converted to extraembryonic endoderm (XEN) cells without genetic interventions has not been reported. Here, it is reported that Wnt inhibitors (i.e., XAV939 and IWR1) safeguard porcine ESCs from acquiring the XEN lineage. Porcine ESCs rely on Wnt inhibitors to maintain pluripotency. Without them, porcine ESCs exit from pluripotency and convert to XEN cells. An efficient strategy and culture conditions are further developed to directly derive porcine XEN cells from ESCs without gene editing. The resulting XEN cells from ESCs exhibit similar transcriptome and chromatin accessibility features to XEN cells from embryos and contribute to mouse extraembryonic tissues. This study will deepen the understanding of porcine pluripotency, lay the foundation for deriving high-quality porcine ESCs with germline chimerism and transmission, and provide valuable materials to study extraembryonic development and lineage segregation in livestock.","ESCs, Wnt inhibition, XEN cells, pig, pluripotency"
40062897,Highly efficient CRISPR-Cas9 base editing in,Applied and environmental microbiology,2025,"Hung-Chun Lin, Wan-Chi Hsiao, Ya-Chen Hsu, Meng-Chieh Lin, Cheng-Chih Hsu, Mingzi M Zhang",Intestinal microbiota members of the,"Bifidobacterium, CRISPR-Cas, DNA methylation, metabolic perturbation, restriction modification systems, strain engineering"
